Aishe Code,Name,District,State,Website,Year Of Establishment,Location,College Type,Manegement,University Aishe Code,University Name,University Type,For_girls
C-21404,Abdul Ahad Azad Memorial College Bemina,Srinagar,Jammu and Kashmir,,1970,Urban,Constituent / University College,State Government,U-0909,Cluster University Srinagar,State Public University,false
C-21419,Amar Singh College Srinagar,Srinagar,Jammu and Kashmir,www.amarsinghcollege.ac.in,1942,Urban,Constituent / University College,State Government,U-0909,Cluster University Srinagar,State Public University,false
C-21435,Gandhi Memorial College Srinagar,Srinagar,Jammu and Kashmir,,1943,Urban,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-62817,Government College For Women Bhagwati Nagar Jammu,Jammu,Jammu and Kashmir,https://www.facebook.com/p/Gcw-Bhagwati-Nagar-100085678270561/,2019,Urban,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,true
C-21405,Government College for Women M A Road Srinagar,Srinagar,Jammu and Kashmir,www.gcwmaroad.edu.in,1950,Urban,Constituent / University College,State Government,U-0909,Cluster University Srinagar,State Public University,true
C-22872,Government College for Women Parade Ground Jammu,Jammu,Jammu and Kashmir,https://www.gcwparade.in,1944,Urban,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,true
C-22923,Government College for Women Udhampur,Udhampur,Jammu and Kashmir,www.gcwudhampur.in,1986,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,true
C-64536,Government Degree College Ajas,Bandipora,Jammu and Kashmir,www.gdcajas.com,2019,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-22882,Government Degree College Akhnoor,Jammu,Jammu and Kashmir,www.gdcakhnoor.com,2005,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-21415,Government Degree College Anantnag,Anantnag,Jammu and Kashmir,www.gdcboysang.ac.in,1950,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-63921,Government Degree College Awantipora,Pulwama,Jammu and Kashmir,,2019,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-22953,Government Degree College Bani,Kathua,Jammu and Kashmir,www.gdcbani.in,2008,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-22916,Government Degree College Banihal,Ramban,Jammu and Kashmir,https://www.facebook.com/profile.php?id=100063979782736,2008,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-21409,Government Degree College Baramulla,Baramulla,Jammu and Kashmir,www.baramullacollege.net,1943,Urban,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-22984,Government Degree College Basohli,Kathua,Jammu and Kashmir,www.gdcbasohli.in,2005,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-63174,Government Degree College Batote,Ramban,Jammu and Kashmir,https://gdcbatote.org.in/,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-22954,Government Degree College Bhaderwah,Doda,Jammu and Kashmir,https://gdcbhadarwah.ac.in/,1955,Urban,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-21448,Government Degree College Bijbahera,Anantnag,Jammu and Kashmir,www.gdcbijbehara.edu.in,2005,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-22988,Government Degree College Billawar,Kathua,Jammu and Kashmir,https://gdcbillawar.in/,2005,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-22941,Government Degree College Bishnah,Jammu,Jammu and Kashmir,www.gdcbishnah.in,2008,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-64537,Government Degree College Bomai,Baramulla,Jammu and Kashmir,www.gdcbomai.edu.in,2019,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-63920,Government Degree College Boniyar,Baramulla,Jammu and Kashmir,www.gdcboniyar.com,2020,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-22915,Government Degree College Budhal,Rajouri,Jammu and Kashmir,www.gdcbudhal.in,2008,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-64873,Government Degree College Chadoora,Budgam,Jammu and Kashmir,https://www.gdcchadoora.edu.in,2019,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
