id,Courses,roadmap_id
1,5 Year Integrated Programme in Mathematics,
2,B.Sc Computer Applications,
3,BA Dogri,
4,BA Economics,
5,BA Education,
6,BA English Literature,
7,BA Hindi Literature,
8,BA History,
9,BA Mass Communication and Multimedia Production,
10,BA Music,
11,BA Philosophy,
12,BA Political Science,
13,BA Psychology,
14,BA Public Administration,
15,BA Punjabi Literature,
16,BA Sanskrit,
17,BA Sociology,
18,BA Urdu,
19,Bachelor of Arts & Humanities With Major in Dogri,
20,Bachelor of Arts & Humanities With Major in English/English Literature,
21,Bachelor of Arts & Humanities With Major in Hindi,
22,Bachelor of Arts & Humanities With Major in Kashmiri,
23,Bachelor of Arts & Humanities With Major in Music,
24,Bachelor of Arts & Humanities With Major in Persian,
25,Bachelor of Arts & Humanities With Major in Punjabi,
26,Bachelor of Arts & Humanities With Major in Sanskrit,
27,Bachelor of Arts & Humanities With Major in Urdu,
28,Bachelor of Arts & Humanties with Major in Arabic,
29,Bachelor of Arts Anthropology (Hons),
30,Bachelor of Arts Arabic (Hons),
31,Bachelor of Arts Economics (Hons),
32,Bachelor of Arts Education (Hons),
33,Bachelor of Arts English (Hons),
34,Bachelor of Arts English Literature (Hons),
35,Bachelor of Arts History (Hons),
36,Bachelor of Arts in Economics (Honours),
37,Bachelor of Arts in Economics (Honours) Self Financed,
38,Bachelor of Arts in English Literature (Honours),
39,Bachelor of Arts in English Literature (Honours) Self Financed,
40,Bachelor of Arts Islamic Studies (Hons),
41,Bachelor of Arts Journalism & Mass Communication (Hons),
42,Bachelor of Arts Kashmiri (Hons),
43,Bachelor of Arts Music (Hons),
44,Bachelor of Arts Philosophy (Hons),
45,Bachelor of Arts Political Science (Hons),
46,Bachelor of Arts Psychology (Hons),
47,Bachelor of Arts Public Administration (Hons),
48,Bachelor of Arts Social Work (Hons),
49,Bachelor of Arts Sociology (Hons),
50,Bachelor of Arts Tour and Travel Management (Hons),
51,Bachelor of Arts Urdu (Hons),
52,Bachelor of Arts/Science Geography (Hons),
53,Bachelor of Arts/Science Mathematics (Hons),
54,Bachelor of Arts/Science Statistics (Hons),
55,Bachelor of Business Administration (Honours),
56,Bachelor of Business Administration (Honours) Self Financed,
57,Bachelor of business Administration (Hons),
58,Bachelor of Business Administration in Financial Management (Hons),
59,Bachelor of Business Administration in Marketing Management (Hons),
60,Bachelor of Commerce,
61,Bachelor of Commerce (Hons),
62,Bachelor of Commerce in Accounting & Taxation (Honours),
63,Bachelor of Commerce in Accounting & Taxation (Honours) Self Financed,
64,Bachelor of Commerce in Accounting & Taxation (Hons),
65,Bachelor of Commerce in Finance (Honours),
