id,careers,courses
1,Nuclear Technicians,5 Year Integrated Programme in Mathematics
2,Nuclear Technicians,BSc Mathematics
3,Nuclear Technicians,BSc in Mathematics
4,Photographers,BACHELORS (HONOURS) WITH MASS COMMUNICATION AND MULTIMEDIA PRODUCTION AS MAJOR
5,Photographers,Bachelor of Multimedia and Mass Communication
6,Photographers,Bachelor of Arts Journalism & Mass Communication (Hons)
7,Photographers,BA Mass Communication and Multimedia Production
8,Photographers,Design Your Degree
9,Photographers,Design Your Degree (DYD)
10,Police and Sheriff's Patrol Officers,Bachelor of Social and Behavioural Science With Major in Political Science
11,Police and Sheriff's Patrol Officers,BACHELORS (HONOURS) WITH POLITICAL SCIENCE AS MAJOR
12,Police and Sheriff's Patrol Officers,Bachelor of Arts Political Science (Hons)
13,Police and Sheriff's Patrol Officers,BA Political Science
14,Police and Sheriff's Patrol Officers,Bachelor of Social and Behavioural Science With Major in Sociology
15,Police and Sheriff's Patrol Officers,BACHELORS (HONOURS) WITH SOCIOLOGY AS MAJOR
16,Police and Sheriff's Patrol Officers,Bachelor of Arts Sociology (Hons)
17,Police and Sheriff's Patrol Officers,BA Sociology
18,Police and Sheriff's Patrol Officers,Bachelor of Social and Behavioural Science With Major in Psychology
19,Police and Sheriff's Patrol Officers,BACHELORS (HONOURS) WITH PSYCHOLOGY AS MAJOR
20,Police and Sheriff's Patrol Officers,Bachelor of Arts Psychology (Hons)
21,Police and Sheriff's Patrol Officers,BA Psychology
22,Radiologic Technologists and Technicians,Bachelor of Science With Major in Physics
23,Radiologic Technologists and Technicians,BACHELORS (HONOURS) WITH PHYSICS AS MAJOR
24,Radiologic Technologists and Technicians,Bachelor of Science Physics (Hons)
25,Radiologic Technologists and Technicians,Bachelor of Science in Physics (Honours)
26,Radiologic Technologists and Technicians,Bachelor of Science in Physics (Honours) Self Financed
27,Radiologic Technologists and Technicians,BSc Physics
28,Radiologic Technologists and Technicians,BSc in Physics
29,Sound Engineering Technicians,BACHELORS (HONOURS) WITH MASS COMMUNICATION AND MULTIMEDIA PRODUCTION AS MAJOR
30,Sound Engineering Technicians,Bachelor of Multimedia and Mass Communication
31,Sound Engineering Technicians,Bachelor of Arts Journalism & Mass Communication (Hons)
32,Sound Engineering Technicians,BA Mass Communication and Multimedia Production
33,Sound Engineering Technicians,Bachelor of Science With Major in Electronics
34,Sound Engineering Technicians,BACHELORS (HONOURS) WITH ELECTRONICS AS MAJOR
35,Sound Engineering Technicians,Bachelor of Science in Electronics (Honours)
36,Sound Engineering Technicians,Bachelor of Science in Electronics (Honours) Self Financed
37,Sound Engineering Technicians,Bachelor of Science Electronics (Hons)
38,Sound Engineering Technicians,BSc in Electronics
39,Sound Engineering Technicians,Bachelor of Arts & Humanities With Major in Music
40,Sound Engineering Technicians,BACHELORS (HONOURS) WITH INDIAN MUSIC AS MAJOR
41,Sound Engineering Technicians,Bachelor of Arts Music (Hons)
