id,courses,colleges
1,BACHELORS (HONOURS) WITH DISASTER MANAGEMENT AS MAJOR,Government Degree College Ajas
2,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Bijbahera
3,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Anantnag
4,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Women College Anantnag
5,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Dooru Kashmir
6,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Kokernag
7,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Mattan
8,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Uttersoo
9,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Vailoo Larnoo
10,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Hassan Khoyihami Memorial Degree College Bandipora
11,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Hajin
12,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Sumbal
13,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Women College Baramulla
14,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Hadipora
15,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Pattan
16,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Sopore
17,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Women College Sopore
18,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Tangmarg
19,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Uri
20,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Govternment Degree College Beerwah
21,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Sheikh ul Alam Memorial Degree College Budgam.
22,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Charar i Sharief
23,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College KhanSahib Budgam
24,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Magam
25,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Ganderbal
26,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Kangan
27,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College D H Pora
28,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Frisal Homeshalibugh
29,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Killam
30,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Kulgam
31,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Qazigund
32,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Handwara
33,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Kupwara
34,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Sogam
35,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Tangdar Kupwara Kashmir
36,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Pampore
37,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Pulwama
38,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College For Women Pulwama Kashmir.
39,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Tral
40,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Degree College Shopian
41,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Government Women College Nawakadal Srinagar
42,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,Srinagar Women’s College Zakura
43,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,"Vishwa Bharti Women's College Rainawari, Srinagar"
44,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Bijbahera
45,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Anantnag
46,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Women College Anantnag
47,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Dooru Kashmir
48,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Kokernag
49,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Mattan
50,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Uttersoo
51,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Vailoo Larnoo
52,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Verinag
53,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Ajas
54,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Hassan Khoyihami Memorial Degree College Bandipora
55,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Gurez
56,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Hajin
57,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Sumbal
58,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Tulail
59,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Women College Baramulla
60,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Bomai
61,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Boniyar
62,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Danghiwacha
63,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Hadipora
64,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Thindim Kreeri
65,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Pattan
66,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Sopore
67,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Women College Sopore
68,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Tangmarg
69,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Uri
70,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Govternment Degree College Beerwah
71,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Sheikh ul Alam Memorial Degree College Budgam.
72,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Chadoora
73,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Charar i Sharief
74,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College KhanSahib Budgam
75,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Magam
76,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Soibugh
77,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Ganderbal
78,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Kangan
79,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College D H Pora
80,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Frisal Homeshalibugh
81,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Killam
82,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Kulgam
83,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Qazigund
84,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Handwara
85,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Kupwara
86,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Women College Kupwara
87,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Langate
88,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Sogam
89,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Tangdar Kupwara Kashmir
90,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Awantipora
91,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Pampore
92,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Pulwama
93,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College For Women Pulwama Kashmir.
94,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Rajpora
95,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Tral
96,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Shopian
97,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Degree College Zainapora
98,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Gandhi Memorial College Srinagar
99,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Government Women College Nawakadal Srinagar
100,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,Srinagar Women’s College Zakura
101,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,"Vishwa Bharti Women's College Rainawari, Srinagar"
102,BACHELORS (HONOURS) WITH ELECTRONICS AS MAJOR,Government Degree College Anantnag
103,BACHELORS (HONOURS) WITH ELECTRONICS AS MAJOR,Government Degree College Sumbal
104,BACHELORS (HONOURS) WITH ELECTRONICS AS MAJOR,Government Degree College Handwara
105,BACHELORS (HONOURS) WITH ELECTRONICS AS MAJOR,"Vishwa Bharti Women's College Rainawari, Srinagar"
106,BACHELORS (HONOURS) WITH ENGLISH LITERATURE AS MAJOR,Government Degree College Bijbahera
107,BACHELORS (HONOURS) WITH ENGLISH LITERATURE AS MAJOR,Government Degree College Anantnag
108,BACHELORS (HONOURS) WITH ENGLISH LITERATURE AS MAJOR,Government Women College Anantnag
109,BACHELORS (HONOURS) WITH ENGLISH LITERATURE AS MAJOR,Government Degree College Dooru Kashmir
110,BACHELORS (HONOURS) WITH ENGLISH LITERATURE AS MAJOR,Government Degree College Mattan
111,BACHELORS (HONOURS) WITH ENGLISH LITERATURE AS MAJOR,Government Degree College Uttersoo
112,BACHELORS (HONOURS) WITH ENGLISH LITERATURE AS MAJOR,Government Degree College Vailoo Larnoo
113,BACHELORS (HONOURS) WITH ENGLISH LITERATURE AS MAJOR,Government Degree College Ajas
