id,Courses,roadmap_id,stream
1,5 Year Integrated Programme in Mathematics,2,Science
2,B.Sc Computer Applications,4,Science
3,BA Dogri,1,Arts
4,BA Economics,1,Arts
5,BA Education,5,Arts
6,BA English Literature,1,Arts
7,BA Hindi Literature,1,Arts
8,BA History,1,Arts
9,BA Mass Communication and Multimedia Production,1,Arts
10,BA Music,1,Arts
11,BA Philosophy,1,Arts
12,BA Political Science,1,Arts
13,BA Psychology,1,Arts
14,BA Public Administration,5,Arts
15,BA Punjabi Literature,1,Arts
16,BA Sanskrit,1,Arts
17,BA Sociology,1,Arts
18,BA Urdu,1,Arts
19,Bachelor of Arts & Humanities With Major in Dogri,1,Arts
20,Bachelor of Arts & Humanities With Major in English/English Literature,1,Arts
21,Bachelor of Arts & Humanities With Major in Hindi,1,Arts
22,Bachelor of Arts & Humanities With Major in Kashmiri,1,Arts
23,Bachelor of Arts & Humanities With Major in Music,1,Arts
24,Bachelor of Arts & Humanities With Major in Persian,1,Arts
25,Bachelor of Arts & Humanities With Major in Punjabi,1,Arts
26,Bachelor of Arts & Humanities With Major in Sanskrit,1,Arts
27,Bachelor of Arts & Humanities With Major in Urdu,1,Arts
28,Bachelor of Arts & Humanties with Major in Arabic,1,Arts
29,Bachelor of Arts Anthropology (Hons),1,Arts
30,Bachelor of Arts Arabic (Hons),1,Arts
31,Bachelor of Arts Economics (Hons),1,Arts
32,Bachelor of Arts Education (Hons),5,Arts
33,Bachelor of Arts English (Hons),1,Arts
34,Bachelor of Arts English Literature (Hons),1,Arts
35,Bachelor of Arts History (Hons),1,Arts
36,Bachelor of Arts in Economics (Honours),1,Arts
37,Bachelor of Arts in Economics (Honours) Self Financed,1,Arts
38,Bachelor of Arts in English Literature (Honours),1,Arts
39,Bachelor of Arts in English Literature (Honours) Self Financed,1,Arts
40,Bachelor of Arts Islamic Studies (Hons),1,Arts
41,Bachelor of Arts Journalism & Mass Communication (Hons),1,Arts
42,Bachelor of Arts Kashmiri (Hons),1,Arts
43,Bachelor of Arts Music (Hons),1,Arts
44,Bachelor of Arts Philosophy (Hons),1,Arts
45,Bachelor of Arts Political Science (Hons),1,Arts
46,Bachelor of Arts Psychology (Hons),1,Arts
47,Bachelor of Arts Public Administration (Hons),5,Arts
48,Bachelor of Arts Social Work (Hons),5,Arts
49,Bachelor of Arts Sociology (Hons),1,Arts
50,Bachelor of Arts Tour and Travel Management (Hons),5,Arts
51,Bachelor of Arts Urdu (Hons),1,Arts
52,Bachelor of Arts/Science Geography (Hons),1,Science
53,Bachelor of Arts/Science Mathematics (Hons),2,Science
54,Bachelor of Arts/Science Statistics (Hons),2,Science
55,Bachelor of Business Administration (Honours),3,Commerce
56,Bachelor of Business Administration (Honours) Self Financed,3,Commerce
57,Bachelor of business Administration (Hons),3,Commerce
58,Bachelor of Business Administration in Financial Management (Hons),3,Commerce
59,Bachelor of Business Administration in Marketing Management (Hons),3,Commerce
60,Bachelor of Commerce,3,Commerce
61,Bachelor of Commerce (Hons),3,Commerce
62,Bachelor of Commerce in Accounting & Taxation (Honours),3,Commerce
63,Bachelor of Commerce in Accounting & Taxation (Honours) Self Financed,3,Commerce
64,Bachelor of Commerce in Accounting & Taxation (Hons),3,Commerce
65,Bachelor of Commerce in Finance (Honours),3,Commerce
66,Bachelor of Commerce in Finance (Honours) Self Financed,3,Commerce
67,Bachelor of Commerce in Finance (Hons),3,Commerce
68,Bachelor of Commerce With Major in Accounting and Finance,3,Commerce
69,Bachelor of Commerce With Major in Business Studies,3,Commerce
70,Bachelor of Computer Application (Hons),4,Science
71,Bachelor of Computer Applications,4,Science
72,Bachelor of Computer Applications (Honours),4,Science
73,Bachelor of Computer Applications (Honours) Self Financed,4,Science
74,Bachelor of Computer Applications (Hons),4,Science
75,Bachelor of Computer Applications Self Financed,4,Science
76,Bachelor of Management with Major in Business Management,3,Commerce
77,Bachelor of Multimedia and Mass Communication,1,Arts
78,Bachelor of Science Anthropology (Hons),1,Science
79,Bachelor of Science Bio-Chemistry (Hons),2,Science
80,Bachelor of Science Biochemistry (Hons),2,Science
